plot,Rep,Row,Column,PINumber,Plant Height.sp,DaysToFlower.sp,TillersPerPlant.sp,StemDiameterLower.sp,StemDiameterUpper.sp,PaniclesPerPlant.sp,LeafNumber.sp,LeafLength.sp,LeafWidth.sp,SeedMassPerPlant.sp,SeedProtein.sp,SeedOil.sp,SeedAsh.sp,SeedStarch.sp,SeedMoisture.sp
4016,4,3,11,PI576340,1.2590624,69.05985767,0.266565386,21.12784035,9.39876506,1.885585076,11.30979909,64.84197452,7.280040069,64.11981218,14.04185343,4.586843018,1.590707492,72.99345282,8.574366879
4017,4,3,12,PI533955,0.867280417,67.33755071,0.283103282,19.45954727,8.79622058,1.625065449,10.14615569,66.05838655,7.534451448,51.50867729,13.97387456,4.485990171,1.747108043,71.32041814,8.756071067
4018,4,3,13,PI576368,1.005503633,68.62055882,0.299353374,NA,NA,1.614559387,10.81252581,67.80479858,7.60811651,68.46896675,14.35296298,4.285138849,1.56750284,71.52792285,8.254106092
4019,4,3,14,PI533973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4020,4,3,15,SC0858,1.036994066,66.67692895,0.329035657,NA,NA,2.093612757,9.815327261,69.65262272,7.271045515,29.05804152,17.49901234,3.828444903,1.669276968,70.74887954,7.960196701
4021,4,3,16,PI533827,1.26026669,68.95126808,0.841099149,NA,NA,1.583077743,10.31677194,68.74903486,7.704384338,45.48821345,14.3173959,4.277603921,1.551044517,72.4731406,8.057040147
4022,4,3,17,PI533805,0.843559556,63.73616412,0.85055736,NA,NA,2.072391953,9.818256428,59.13044706,6.570276994,42.85064919,13.77078035,4.041767471,1.647514106,73.07183167,7.865839817
4023,4,3,18,PI533990,0.891880156,64.54775737,1.192203813,NA,NA,2.061449828,9.654789637,65.51185933,8.218759722,56.47044038,13.90001616,4.045935666,1.599263447,72.33110809,7.688387368
4024,4,3,19,PI533804,1.135236998,61.9050115,0.360968639,NA,NA,2.050127299,9.321381773,63.72827167,6.630244226,56.78831407,13.59307575,4.155108639,1.456693371,73.38770068,7.855436989
4025,4,3,20,SC0287,0.828636121,59.32284608,1.196961711,NA,NA,1.78831832,8.158038158,64.18968406,6.370326477,29.98383361,16.8333246,2.399286476,1.680287282,72.81496051,7.676165356
4026,4,3,21,PI534093,1.197080074,62.3086178,1.360517841,18.51543437,8.827566319,2.025959869,8.659757342,59.65609643,7.529594616,33.67601947,15.215573,3.523469076,1.640607907,66.29162595,8.598017207
4027,4,3,22,SC0604,1.145569029,62.86122104,0.692212255,NA,NA,2.263049491,10.16153423,68.28750872,7.00838647,54.19049123,13.74923673,4.142655929,1.41794523,73.90406602,7.891699092
4028,4,3,23,PI656096,1.269101195,64.97184076,0.51756372,19.61426708,9.822012203,1.249609407,11.32836355,68.25392088,6.882037534,33.77157424,14.40602594,4.136846389,1.597207531,70.71873284,7.906614827
4029,4,4,10,PI564163,1.120707339,66.71489038,0.250619876,18.32651022,8.826410626,1.300720113,10.47849024,72.75469043,6.685565805,58.84982485,12.77662963,4.376525579,1.527250276,74.33591013,8.1535253
4030,4,4,11,PI533887,1.558964826,64.98356061,0.931474562,NA,NA,2.795562745,9.649057925,66.13965641,6.380358214,60.10252445,13.64572389,4.150436488,1.639027009,72.6850778,8.082231991
4031,4,4,12,SC0895,1.607220901,69.76635193,0.2823181,NA,NA,1.290417359,10.81463331,68.72462236,7.234866512,44.78771298,14.40587312,4.649347752,1.450315084,73.91563932,8.456761117
4032,4,4,13,PI329435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4033,4,4,14,PI533797,0.808749269,72.85329055,0.312913339,NA,NA,1.280375726,11.9808282,59.4595542,7.080370834,20.79982826,16.90355363,3.377173974,1.889722884,65.84315632,10.36270988
4034,4,4,15,PI533864,0.792032897,59.64442777,1.326548601,NA,NA,1.525544537,9.481458548,61.75952016,6.820041069,29.18314715,14.29158668,3.881090787,1.692489739,68.08520892,8.666958248
4035,4,4,16,PI609456,2.225330546,75.43591138,1.338130313,19.24636501,7.815849882,1.27081635,12.48211989,59.56448616,6.987254795,19.75687757,16.06514379,3.735011128,1.759433698,67.33023743,9.573651257
4036,4,4,17,PI534119,0.903643427,66.23787177,0.347138183,NA,NA,1.266136089,10.98281996,68.77945221,7.63202843,35.94349926,13.38450654,4.363935496,1.601218847,72.66275938,7.922712195
